,k/d,assists
1,23.1,0.175
2,24.1,0.212
3,14,0.14
4,17.6,0.187
5,20.6,0.17
6,30.7,0.209
7,15.8,0.15
8,16.1,0.251
9,17.9,0.176
10,17.4,0.197
11,26.5,0.208
12,17.7,0.205
13,22,0.257
14,30,0.286
15,12.7,0.227
16,16.2,0.245
17,19.1,0.219
18,22.9,0.208
19,18.6,0.197
20,15.9,0.194
21,14.5,0.218
22,15.9,0.168
23,15.3,0.238
24,25.6,0.242
25,15.8,0.248
26,18.6,0.276
27,13.8,0.202
28,18.6,0.233
29,14.7,0.214
30,14.7,0.201
31,15.7,0.214
32,15.5,0.164
33,19.1,0.144
34,17.3,0.218
35,22.7,0.171
36,10.2,0.284
37,17.3,0.279
38,25.4,0.287
39,14.6,0.203
40,16.3,0.206
41,16.2,0.333
42,20.1,0.169
43,18.8,0.209
44,19.4,0.299
45,16.9,0.183
46,13,0.099
47,25.2,0.229
48,20.2,0.246
49,22.5,0.222
50,12,0.122
51,19.1,0.211
52,18.7,0.262
53,15.8,0.181
54,28.9,0.14
55,14.3,0.208
56,14.3,0.219
57,15.2,0.293
58,23.6,0.25
59,21.7,0.203
60,10.4,0.131
61,15.8,0.269
62,17.2,0.218
63,11.6,0.19
64,7.7,0.095
65,11.9,0.215
66,13.8,0.2
67,11.4,0.213
68,11.5,0.213
69,8.8,0.252
70,11.8,0.225
71,11.3,0.251
72,14.8,0.241
73,10.4,0.259
74,12.9,0.21
75,16.2,0.189
76,12,0.23
77,11.5,0.239
78,17.6,0.238
79,9.5,0.203
80,13.1,0.251
81,18.3,0.221
82,13.6,0.22
83,12.8,0.241
84,11.9,0.277
85,14.7,0.251
86,13.2,0.19
87,14.3,0.208
88,13.3,0.256
89,15.6,0.216
90,12.2,0.159
91,20.8,0.211
92,14.8,0.228
93,11.3,0.213
94,20.7,0.197
95,18.2,0.264
96,19.1,0.259
97,11.4,0.275
98,14.9,0.27
99,12.1,0.181
100,12,0.26
101,10.1,0.251
102,11.8,0.233
103,13.5,0.235
104,13.2,0.216
105,18.7,0.251
106,18.7,0.199
107,16.7,0.247
108,13.2,0.239
109,13.7,0.202
110,15.7,0.169
111,11.7,0.26
112,15.9,0.211
113,18.9,0.219
114,19.3,0.206
115,15.9,0.201
116,11.5,0.212
117,11,0.228
118,16.3,0.228
119,16.2,0.173
120,14.5,0.141
121,22,0.308
122,23.3,0.241
123,13.9,0.266
124,13.9,0.214
125,17.7,0.233
126,18.4,0.232
127,17.4,0.23
128,19.9,0.23
129,19.5,0.281
130,19.9,0.285
131,10.8,0.265
132,13.8,0.234
133,16.9,0.291
134,12.9,0.18
135,13.8,0.281
136,9.7,0.183
137,24.8,0.202
138,20.6,0.197
139,14.9,0.199
140,15.3,0.205
141,16.9,0.269
142,19.9,0.203
143,22,0.222
144,16.8,0.258
145,12,0.383
146,17.9,0.246
147,11.2,0.348
148,16.5,0.113
149,23.5,0.276
150,11.2,0.238
151,20.5,0.247
152,14.2,0.201
153,3.5,0.139
154,15.6,0.2
155,10.4,0.162
156,14.2,0.284
157,15.4,0.195
158,18.9,0.205
159,23,0.169
160,14.9,0.207
161,13.2,0.263
162,21,0.305
163,15.9,0.218
164,11.3,0.26
165,15.2,0.256
166,17,0.237
167,9.2,0.204
168,16,0.238
169,21.2,0.285
170,18.5,0.206
171,16.8,0.188
172,11,0.213
173,15.7,0.221
174,12.5,0.126
175,14.3,0.244
176,17.9,0.223
177,15.1,0.218
178,20.5,0.258
179,12,0.242
180,12.5,0.25
181,25.6,0.243
182,13.6,0.252
183,14.7,0.21
184,12.3,0.263
185,15.2,0.226
186,18.2,0.207
187,13.6,0.215
188,16.5,0.26
189,13.8,0.266
190,12.7,0.228
191,21.6,0.222
192,14.6,0.26
193,17.4,0.255
194,16.7,0.135
195,22.8,0.154
196,6.5,0.125
197,28.6,0.227
198,18.1,0.156
199,18.2,0.201
200,11.9,0.194
201,18,0.23
202,17.4,0.184
203,16.6,0.236
204,13.7,0.234
205,21.3,0.23
206,10.9,0.26
207,16.6,0.195
208,12.4,0.241
209,16.1,0.188
210,14.9,0.187
211,14.7,0.235
212,16.2,0.217
213,16,0.215
214,14.9,0.183
215,22.8,0.241
216,16.9,0.234
217,17.7,0.238
218,14.7,0.183
219,17.3,0.236
220,15.9,0.204
221,18.9,0.234
222,22.1,0.251
223,14.1,0.219
224,17.9,0.201
225,19.9,0.248
226,16.5,0.193
227,15.8,0.228
228,11.3,0.207
229,18.9,0.255
230,10.9,0.094
231,17.2,0.28
232,15.7,0.26
233,12.9,0.2
234,31.3,0.159
235,13.7,0.157
236,13.2,0.261
237,14.6,0.171
238,28.7,0.364
239,21.2,0.177
240,15.6,0.235
241,19.2,0.225
242,19.5,0.189
243,23.4,0.19
244,16.8,0.247
245,19.4,0.254
246,16.7,0.094
247,24,0.24
248,15.7,0.235
249,14.3,0.264
250,22.1,0.282
251,15.8,0.242
252,12.1,0.274
253,14.9,0.286
254,9.2,0.237
255,21.6,0.238
256,17,0.264
257,17.8,0.239
258,38.7,0.444
259,31.7,0.215
260,21.5,0.256
261,9.6,0.214
262,22,0.188
263,20.5,0.184
264,9,0.222
265,13.4,0.236
266,18.3,0.23
267,17,0.195
268,11.5,0.183
269,12.8,0.251
270,17.3,0.246
271,12.2,0.224
272,11.9,0.243
273,20.1,0.185
274,26.6,0.202
275,17.1,0.2
276,17,0.267
277,19.4,0.225
278,17.3,0.206
279,20.7,0.142
280,18.4,0.281
281,13.3,0.207
282,12.5,0.184
283,17.4,0.25
284,11.5,0.174
285,14.5,0.278
286,15.1,0.208
287,16.8,0.218
288,13.7,0.213
289,21.3,0.196
290,11.1,0.243
291,20.3,0.23
292,18.4,0.215
293,18.1,0.144
