duration (s),mode,map,score,kills,deaths,k/d,assists,headshots,accuracy (%),avg kill dist (m),fave weapon,fave rig,fave trait,win?
480,0,0,106,12,19,0.63,5,1,0.175,23.1,0,0,0,0
480,0,0,106,19,20,0.95,5,0,0.212,24.1,0,1,1,0
480,0,0,106,12,23,0.52,6,2,0.14,14.0,1,2,2,0
480,0,0,106,15,17,0.88,6,2,0.187,17.6,1,3,3,0
480,0,0,250,18,15,1.2,9,0,0.17,20.6,0,0,0,1
480,0,0,250,26,13,2,4,4,0.209,30.7,1,2,2,1
480,0,0,250,16,15,1.07,11,2,0.15,15.8,1,3,3,1
480,0,0,250,19,16,1.19,7,1,0.251,16.1,1,1,1,1
458,0,0,94,14,22,0.64,7,0,0.176,17.9,1,1,1,0
458,0,0,94,13,21,0.62,2,0,0.197,17.4,1,0,0,0
458,0,0,94,10,21,0.48,5,1,0.208,26.5,0,2,2,0
458,0,0,94,9,20,0.45,1,0,0.205,17.7,1,3,3,0
458,0,0,250,18,10,1.8,11,1,0.257,22.0,1,2,2,1
458,0,0,250,29,10,2.9,6,0,0.286,30.0,0,1,1,1
458,0,0,250,13,16,0.81,6,2,0.227,12.7,1,0,0,1
458,0,0,250,24,10,2.4,1,2,0.245,16.2,1,3,3,1
597,0,0,212,22,27,0.81,6,2,0.219,19.1,0,2,2,0
597,0,0,212,16,22,0.73,9,0,0.208,22.9,0,0,0,0
597,0,0,212,16,25,0.64,6,1,0.197,18.6,0,3,3,0
597,0,0,212,20,24,0.83,6,3,0.194,15.9,1,1,1,0
597,0,0,250,27,20,1.35,9,1,0.218,14.5,1,3,3,1
597,0,0,250,13,21,0.62,13,0,0.168,15.9,0,2,2,1
597,0,0,250,31,15,2.07,7,1,0.238,15.3,0,1,1,1
597,0,0,250,27,18,1.5,12,3,0.242,25.6,0,0,0,1
642,0,0,250,24,21,1.14,5,2,0.248,15.8,1,3,3,1
642,0,0,250,29,16,1.81,11,0,0.276,18.6,0,2,2,1
642,0,0,250,27,19,1.42,4,1,0.202,13.8,1,0,0,1
642,0,0,250,23,19,1.21,12,3,0.233,18.6,0,1,1,1
642,0,0,200,23,26,0.88,4,4,0.214,14.7,0,0,0,0
642,0,0,200,23,27,0.85,7,1,0.201,14.7,1,1,1,0
642,0,0,200,16,26,0.62,3,0,0.214,15.7,1,3,3,0
642,0,0,200,13,24,0.54,10,1,0.164,15.5,0,2,2,0
444,1,1,2,4,8,0.5,0,1,0.144,19.1,2,1,1,0
444,1,1,2,6,7,0.86,2,1,0.218,17.3,1,0,0,0
444,1,1,2,5,6,0.83,1,1,0.171,22.7,0,2,2,0
444,1,1,2,5,8,0.62,0,0,0.284,10.2,1,3,3,0
444,1,1,6,7,5,1.4,3,0,0.279,17.3,3,2,2,1
444,1,1,6,12,3,4,3,1,0.287,25.4,0,1,1,1
444,1,1,6,3,7,0.43,4,0,0.203,14.6,0,0,0,1
444,1,1,6,7,5,1.4,2,0,0.206,16.3,3,3,3,1
502,1,1,6,4,3,1.33,1,0,0.333,16.2,2,2,2,1
502,1,1,6,5,4,1.25,1,1,0.169,20.1,0,0,0,1
502,1,1,6,8,3,2.67,3,0,0.209,18.8,0,3,3,1
502,1,1,6,9,6,1.5,3,1,0.299,19.4,1,1,1,1
502,1,1,1,4,7,0.57,2,0,0.183,16.9,3,3,3,0
502,1,1,1,1,6,0.17,0,0,0.099,13.0,0,2,2,0
502,1,1,1,5,7,0.71,1,0,0.229,25.2,0,1,1,0
502,1,1,1,6,6,1,1,0,0.246,20.2,0,0,0,0
772,1,1,5,8,8,1,0,1,0.222,22.5,0,0,0,0
772,1,1,5,3,8,0.38,4,1,0.122,12.0,0,1,1,0
772,1,1,5,8,9,0.89,2,0,0.211,19.1,0,2,2,0
772,1,1,5,13,9,1.44,0,1,0.262,18.7,0,3,3,0
772,1,1,6,8,9,0.89,5,1,0.181,15.8,1,0,0,1
772,1,1,6,5,10,0.5,1,0,0.14,28.9,0,4,4,1
772,1,1,6,11,6,1.83,2,2,0.208,14.3,1,3,3,1
772,1,1,6,10,7,1.43,5,1,0.219,14.3,1,1,1,1
662,1,1,6,10,5,2,1,0,0.293,15.2,0,3,3,1
662,1,1,6,7,6,1.17,2,1,0.25,23.6,0,2,2,1
662,1,1,6,6,7,0.86,3,0,0.203,21.7,0,0,0,1
662,1,1,6,6,5,1.2,1,0,0.131,10.4,3,1,1,1
662,1,1,4,7,8,0.88,2,0,0.269,15.8,0,0,0,0
662,1,1,4,11,6,1.83,5,0,0.218,17.2,0,1,1,0
662,1,1,4,4,8,0.5,3,0,0.19,11.6,0,3,3,0
662,1,1,4,1,7,0.14,2,0,0.095,7.7m,0,4,4,0
625,2,2,1,19,26,0.73,9,0,0.215,11.9,3,4,4,0
